index,iteração_1,iteração_2,Nossa_op
The Two Sides of Jim Tressel,Media,Media
"For Boise State, Winning Respect Is the Real Trick",Media,Media
Numbers Put Up by the Defense Dont Add Up to a Giants Title,Media,Media
"Holiday on Ice in St. Petersburg, With a Shot of Vodka on the Side",Media,Media
Journeys: On the Back Lot at the Other Bollywood,Media,Media
36 Hours: London,Media,Media
"Be It Ever So Homespun, Theres Nothing Like Spin",Media,Baixa
"The Pour : Ancient Messages, Hidden in a Dusty Bottle From Long Ago",Media,Media
Music and Food? The Pros Step In,Media,Media
Can This Living Room Be Saved?,Media,Media
In the Heartland and Out of the Closet,Alta,Media
"Going Mobile: All Hanging in Place, Even the Fishbowl",Media,Baixa
Can Google Come Out to Play?,Media,Baixa
The Graying of Naughty,Media,Alta
David Lynchs Shockingly Peaceful Inner Life,Media,Media
Green Icing on the Cake,Media,Media
The Fast and the Frugal,Media,Media
Editorial: Protecting Internet Democracy,Media,Media
"Op-Ed Contributor: This Is Your Brain on Drugs, Dad",Alta,Alta
"3,000 Americans: Let Us Remember (6 Letters)",Baixa,Baixa
TV: Hey! Never Underestimate the Average Joe,Media,Media
MoMA to Gain Exhibition Space by Selling Adjacent Lot for $125 Million,Media,Media
"From the Stage to the Movie Screen, Seeing the Dancer in a Different Light",Media,Media
"Movie Review | 'I Love You (Volim Te)': In Croatia, an Empty Life in Full View",Media,Baixa
The Year of Leading Ladies on the London Stage,Media,Media
Winter Garden's Drive Time Ends,Media,Media
Theater Briefs,Media,Media
"'American Islam,' by Paul M. Barrett: Muslims in the Melting Pot: Portraits of a Post-9/11 World",Alta,Baixa
"Tillie Olsen, Feminist Writer, Dies at 94",Media,Media
Feared and Pitiless; Fearful and Pitiable,Alta,Alta
Politics: Would-Be Presidents With Cold Shoulders,Media,Alta
Judiciary: The Kennedy Factor on the Roberts Court,Media,Media
The Lives They Lived,Media,Media
Joseph J. Schildkraut | b. 1934: The Creative Mind Reader,Media,Media
William C. Norris | b. 1911: The Bleeding-Heart Rationalist,Media,Alta
"Free Will: Now You Have It, Now You Don’t",Baixa,Media
The Energy Challenge: Wal-Mart Puts Some Muscle Behind Power-Sipping Bulbs,Media,Media
Lock the Library! Rowdy Students Are Taking Over,Alta,Alta
Essay: What’s Making Us Sick Is an Epidemic of Diagnoses,Media,Baixa
Questions Couples Should Ask (Or Wish They Had) Before Marrying,Baixa,Media
"An Appreciation: From Father to Son, Last Words to Live By",Baixa,Media
Music of the Hemispheres,Media,Media
Home builder: No sign of recovery,Baixa,Media
Ford reveals Mustang-based concept,Media,Media
U.S.,Media,Baixa
World,Media,Media
Politics,Media,Media
Sports,Media,Media
,Baixa,Baixa
BuzzTracker,Media,Media
FOX Sports,Media,Media
Corrections,Baixa,Baixa
Editorials,Media,Media
"K Street, 1",Media,Media
"NFL Insider, 11",Media,Media
"Life at Work, 11",Media,Media
"Post Politics, 11",Baixa,Media
"MediaBacktalk, 12",Baixa,Baixa
"Opinion, 1",Baixa,Media
Transcripts,Baixa,Baixa
Ford's Life,Media,Media
Political Career,Media,Media
VIDEO: Hometown Remembers Ford,Media,Media
AUDIO,Media,Media
"Former President, 93, Dies at Home",Media,Media
President Bush Hails the Late President,Media,Media
VIDEO,Media,Media
President Bush,Baixa,Baixa
Vice President Cheney,Media,Baixa
Writing an End to Watergate,Media,Media
"Archive: Nixon Resigns, Ford Takes Oath of Office",Media,Media
'Accidental President' Was a Healer of Wounds,Media,Media
Q&A Transcripts: Post's Broder,Media,Media
Ford as Candidate,Media,Media
Ben Bradlee,Baixa,Baixa
Lou Cannon,Media,Baixa
David S. Broder,Media,Media
Feds Entitled to MLB Drug Data,Media,Baixa
Bush's New Look,Media,Media
Bush's New Look on Iraq: Weary,Alta,Media
,Media,Baixa
Hope for New Orleans,Media,Media
The Right Type of Iraq 'Surge',Media,Baixa
Middle Class Myths,Media,Media
Hussein Farewell Released,Baixa,Media
Court Upholds Hussein's Sentence,Alta,Alta
Trial Primer,Media,Media
Baathists Threaten Retaliation,Alta,Alta
7 U.S. Troops Killed,Alta,Alta
Ramadi Diary,Alta,Alta
Ethiopia Seizes Somali City,Alta,Media
New Front in War on Terror Emerges,Alta,Media
Conflict With Conflict Diamonds,Alta,Alta
The Many Facets of 'Blood Diamond',Media,Media
John Edwards Joins Presidential Race,Media,Media
Iran Lawmakers Vote to Revise Nuke Ties,Media,Media
Pope Gets Letter From Iran's Leader,Media,Baixa
"Pentagon to Send 3,500 Troops to Kuwait",Baixa,Media
Public Viewing of James Brown at Apollo Theater,Baixa,Media
New Homes Sales Post Gain Nationally in Nov.,Media,Media
"Quake Disrupts Phone, Internet Service in Asia",Media,Media
One Missing Climber's Body Found in China,Media,Media
Jewel Case Treasures of 2006,Media,Media
"Cheese, Please",Media,Media
On Gerald Ford,Media,Media
Ford For Pres.,Media,Media
Recent Discussion Transcripts,Media,Media
Eye on Entertainment,Media,Media
Kidman and Urban Reunite,Media,Media
Brown's Body to Lie at Apollo,Alta,Media
"Jolie, Pitt Visit Refugees",Media,Media
'Scandal': Lesson Not Forgotten,Alta,Alta
Brake-Dancing With Zip,Media,Baixa
MARKETS,Media,Media
Private Funds Prepare to Lobby,Media,Media
Holiday Shopping Continues,Baixa,Media
"Of Public Debt, Private Wealth",Alta,Baixa
Virginia DNA Review Hobbled,Media,Media
Reservist Due for Iraq Killed,Baixa,Alta
How Not to Fix Frozen Pipes,Media,Media
Redskins's Records in Danger,Baixa,Media
Capitals Knocked Out Early,Media,Media
Weatherly Stresses Positives,Media,Media
Cybercrooks Deliver Trouble,Media,Media
Google to Expand Ad Program,Media,Media
Report: Apple Options Probed,Media,Baixa
Handguns Missing From DHS,Alta,Media
Plant Taps Thirst for Vodka,Baixa,Media
Threat to Polar Bears,Media,Media
Gay Marriage Vote Not Forced,Media,Media
Polar Bears May Be Threatened,Media,Media
Biden to Fight Troop Buildup,Media,Media
Hundreds Die in Nigeria Blast,Alta,Alta
Quake Disrupts Phone Service,Media,Media
Israel Approves Settlement,Alta,Alta
Spouses Help Slow Anxiety,Media,Media
Drug Plan Deadline Looms,Media,Media
Men's Weight Linked to Cancer,Media,Media
D.C. Considers Unusual Deal,Media,Media
'Barefoot Teachers' Left Behind,Baixa,Media
Condos Slated Above Church,Baixa,Baixa
My Faith: Tell Us Your Story,Baixa,Media
A Military Family's Holiday,Media,Media
Nicaragua's New Scene,Media,Media
Frequent-Flier Miles Gone?,Media,Baixa
Here it is! Winds of up to 105mph as gigantic Hurricane Earl smacks into U.S. East Coast,Alta,Media
,Baixa,Baixa
Add to My Stories,Media,Media
"Girl, four, weighing just 15lbs and kept tied to her cot found dead in 'filthy' New York apartment",Alta,Alta
"AmericanAltachool student planned to blow up his school, rape and 'become the world's most infamous sociopath'",Alta,Alta
Man guilty of posting footage of him sexually assaulting his unconscious girlfriend online,Alta,Alta
'No regrets': Texas executioner retires after putting 139 men (and one woman) to death in just SIX years,Alta,Alta
Stuntwoman suffers serious head injuries on Transformers 3 set,Media,Alta
Katy Perry stops traffic in teeny polka dot dress,Media,Media
Jessica Simpson,Baixa,Media
Katy Perry,Media,Media
Prince Harry,Media,Media
'Amanda Knox is innocent': Former FBI agent tells U.S. TV that student could not have killed Meredith Kercher,Alta,Baixa
13 oil workers pulled from sea after second offshore rig explodes in Gulf of Mexico,Media,Alta
White House forced to say Obama is a 'mainstream Christian' after attack from talk show host Glenn Beck,Alta,Alta
'I can't have my birth certificate plastered on my forehead': Barack Obama laughs off poll that shows a fifth of Americans believe he's Muslim,Media,Baixa
Newlywed 'murdered his wife of just five months after she discovered his affairs on Facebook',Alta,Alta
"Fears that 110mph Hurricane Earl could sideswipe New York, Boston and Cape Cod",Media,Alta
"Woman, 23, suffers serious head injuries after stunt goes wrong on Transformers 3 set",Alta,Alta
"'Amanda Knox is innocent':, says former FBI agent",Media,Media
Love letter to America: Gushing tributes to Obama and Bush in U.S. version of Blair memoirs,Alta,Alta
Why pick MY car? Driver demands explanation from suicide plunge survivor,Alta,Alta
What gender pay gap? Young single women making MORE money than their male peers in America's cities,Baixa,Baixa
'No regrets': Texas executioner retires after putting 139 men (and one woman) to death in SIX years,Alta,Alta
French national railway bid to operate U.S.Altapeed line stalls over role in Holocaust,Alta,Alta
Mummified babies found in a suitcase after decades in the basement of LA apartment block,Alta,Alta
'I hope I rot in Hell': Suicide plea of father who bludgeoned his wife and daughter to death,Alta,Alta
"Cricket fixer's cash trail leads to captain, but Pakistan's most senior diplomat claims players were set up",Alta,Media
Is the 'biased' BBC now try to cosy up to the Coalition?,Alta,Alta
The moment drunk BMW driver careers down road as friend desperately clings to the bonnet,Alta,Alta
'I have bombs strapped to my body ready to go off': Chilling last phone call of eco-terrorist,Alta,Alta
Samsung Galaxy Tab: Firm joins forces with Google by launching tablet to take on iPad,Media,Media
"Toddler, 2, kicks 40-a-day cigarette habit",Media,Baixa
Drugs to fight bone thinning 'doubles cancer risk',Alta,Alta
Hague 'could quit' over gay smears,Alta,Alta
"God did NOT create the Universe, says Stephen Hawking",Baixa,Media
Young bride burned herself to death to escape 'shame' of failing arranged marriage,Alta,Alta
'Honour killing' parents dramatically re-arrested seven years after death of Shafilea Ahmed,Alta,Alta
Brain training 'delays dementia but SPEEDS up decline later on',Alta,Alta
"Transformers 3 director offers $50,000 reward to track down puppy-throwing girl",Media,Alta
'Hey pretty girl': American woman severely burned after acid-like liquid thrown into her face by stranger faces the world,Alta,Alta
'Hey pretty girl': Woman severely burned after acid-like liquid thrown into her face by a stranger faces the world,Alta,Alta
'Amanda Knox is innocent': Former FBI agent tells U.S. TV student could not have killed Meredith Kercher,Media,Media
"Coming soon to your TV, Stig Gear",Media,Media
Will Hague walk out over smears? Foreign secretary hints he's tired of whispering campaign,Alta,Alta
I've got my hands full aping Mum: Orangutan cradles lion cubs in unlikely babysitter role,Media,Media
Prince Harry faces animal cruelty claim over polo pony's stab wound from his spur,Alta,Alta
"Transformers 3 director Michael Bay offers $50,000 reward to track down puppy-throwing girl",Alta,Alta
The moment armed police marched off car thieves afterAlta-speed chase ends in collision,Alta,Media
"Traveller gang conned 94-year-old victim out of £70,000 for building work that was worth just £250",Baixa,Alta
Is the 'biased' BBC now trying to cosy up to the Coalition? Corporation boss lets slip notes for meeting at No 10,Alta,Alta
Who tookie our Wookie? Mystery of lovable Yorkie who was dognapped by an angry motorist,Media,Media
Ban on bargain booze: Minimum price law could be introduced across UK,Alta,Media
Stig the SAS hero: Top Gear driver's military past revealed (as well as his identity),Media,Media
Four officers called to deal with 84-year-old WWII veteran... for riding his bike on the pavement,Baixa,Baixa
The long farm of the law: Police force unveils its latest weapon against crime - a....TRACTOR?,Baixa,Media
RICHARD LITTLEJOHN: What is all the fuss about Tony Blair's memoirs? We REALLY don't need to know these politicians' gory details,Alta,Alta
"Silly billies: Pictured, two young goats get stuck on six-inch ledge of railway bridge for two days",Media,Media
"Toddler, 2, kicks 40-a-day cigarette habit after month-long spell in rehab... but now that he's out, can he keep it up?",Alta,Alta
The long farm of the law: Police force unveils its latest weapon against crime - a John Deere TRACTOR,Baixa,Baixa
Four police officers called to deal with 84-year-old British WWII veteran... for riding his bike on the pavement,Media,Media
'Dognapper' motorist drives off with Wookie the Yorkshire Terrier after British road rage incident,Alta,Media
I've got my hands full aping Mum: Babysitter orangutan cradles lion cubs,Media,Media
Katy Perry brings London to a halt as she steps out in figure hugging polka dot dress Thankfully there was no sign of yesterday's big pants,Media,Media
Prince Harry faces animal cruelty claim over polo pony's stab wound from his spur Animal welfare groups accuse Prince of being 'heartless',Alta,Alta
Heidi nose best? Plastic surgery junkie Heidi Montag says she now fears her nose may fall off...just like Michael Jackson's,Alta,Alta
Kelly Osbourne celebrates her slim new figure in raunchy performance with the Pussycat Dolls She sparkled in PVC corset,Alta,Alta
"Altaheels, hemlines and hair: Jersey Shore girls glam up for dinner... as The Situation buys a $100,000 Bentley They were Guidette chic",Baixa,Baixa
Jessica Simpson clowns around to help promote her fashion line in a Macy's commercial She says she plans to use 'real' people to model the line,Baixa,Baixa
Kim Kardashian narrowly avoids disaster as her gravity defying dress slips down She nearly displayed her generous curves to the world,Alta,Alta
How Demi keeps showing us Moore (...and Moore!) on Twitter  We take a look at the actress's cringeworthy postings online,Alta,Alta
What a way to spend your birthday! Keanu Reeves marks his 46th with a solitary cupcake outside a warehouse  How depressing...,Media,Media
Jason Statham and Rosie Huntington-Whiteley loved-up for LA hotel stay while new home is prepared Hard man turns soft for his girlfriend,Media,Baixa
"Sell her flat? She should be so lucky! Kylie Minogue is selling her home at a knockdown price The Kensington flat is reduced by £500,000",Baixa,Media
Kate Hudson leaves rockstar lover Matt Bellamy behind as she takes son Ryder on the transatlantic school run She headed back to New York with Ryder,Media,Media
Lady Gaga sexes up Lady Liberty for magazine cover shoot The controversial singer wore her Poker Face and little else,Alta,Alta
Bristol Palin and Audrina Patridge finally get their hands on their Dancing With The Stars partners Contestants in rehearsals,Media,Media
Why does Disney hate parents? Ever noticed your favourite films always kill off Mum and Dad  There's a distinct absence of parents,Alta,Alta
Pregnant Ali Larter sparkles as she parades growing baby bump in figure-hugging dress  She was at the Tokyo premiere of Resident Evil,Media,Baixa
Demure Whitney Port covers up at glitzy Hollywood party... and leaves the flesh flashing to everyone else Hem lines wereAltaat OK Magazine party,Media,Alta
...read,Media,Media
US housing jump in July stuns economists expecting a fall,Media,Media
"Fresh fears for UK property market as average house house price slumped by £2,850 in August",Media,Media
'I hope I rot in Hell': Suicide plea of father who bludgeoned his wife and daughter to death after his business floundered,Alta,Alta
Videos,Media,Media
Samsung and Google launch tablet to take on Apple's iPad,Media,Media
AOL renews Google deal to share search revenue,Media,Media
£1m Paxman could face 20% cut in BBC's salary squeeze,Media,Alta
ANDREW PIERCE: Soulmates who were such easy targets for innuendo,Media,Media
Write-off: Stolen car destroyed inAlta-speed car chase - and you should see the police car...,Alta,Alta
My Grandpa the SS officer,Alta,Alta
'I have bombs strapped to my body ready to go off': Chilling last phone call of eco-terrorist who took hostages at Discovery HQ,Alta,Alta
"Toddler, 2, kicks 40-a-day cigarette habit after month-long spell in rehab",Baixa,Alta
Why older women are more prone to fertility problems,Alta,Media
Health fear over metal in formula milk as researchers discover up to 40 times more aluminium than breast milk,Alta,Alta
Scientists pinpoint how most aggressive breast cancers grow,Media,Media
Dutch woman arrested after bodies of three infants found in her shed,Alta,Alta
Greatest free-kick was no fluke: Roberto Carlos' 1997 'freak' goal explained by scientists,Baixa,Media
Is this the end of window shopping? Washington complex installs anti-loitering device,Media,Media
Man guilty of posting footage of him sexually assaulting his drunk and unconscious girlfriend online,Alta,Alta
DOW      12474.52          11.37,Baixa,Baixa
NASDAQ      2423.16          7.87,Baixa,Baixa
S&P      1416.60          -1.70,Media,Baixa
Symbol Lookup,Media,Baixa
HOME,Media,Media
NEWS & ANALYSIS,Baixa,Media
MARKETS & ECONOMY,Media,Media
INVESTING TOOLS,Media,Media
VIDEO,Media,Media
CNBC TV,Baixa,Media
HELP,Baixa,Baixa
More CNBC Videos,Media,Media
Stocks Finish With Modest Gains After a Rollercoaster Ride,Media,Media
Fed Minutes Show Inflation Remained A Major Concern,Media,Media
"Ford, GM Sales Fell in December; Toyota, DaimlerChrysler Gained",Media,Media
Langone Was Behind Nardelli's Ouster: CNBC's Gasparino,Alta,Alta
Nardelli Quits Home Depot After Year of Intense Criticism,Media,Media
"U.S. Airlines Shares Up on Fuel Prices, Improved Outlook",Media,Media
Hot Topic Shares Plummet on Guidance Cut and Lower December Sales,Baixa,Media
Altria Shares Hit NewAltaon Report,Media,Media
Goodyear Shares Surge on Labor Pact,Baixa,Media
Nabors Shares Slide on Profit Warning,Baixa,Media
U.S. Crude Settles at Lowest Level Since November,Media,Media
Fed Minutes Take Dollar Lower,Media,Media
Lee Brodie,Baixa,Baixa
Closing Bell,Media,Baixa
Street Signs,Media,Media
Tom Brennan,Media,Media
More Posts,Baixa,Media
Greg Levine,Baixa,Baixa
More in Markets & Economy,Media,Media
View Full Guest List,Media,Media
More in World Markets,Media,Media
,Baixa,Baixa
About CNBC,Media,Media
Site Map,Baixa,Media
Privacy Policy,Baixa,Media
Terms of Service,Media,Media
Hillary Clinton and Obama meet for 'friendship' lunchÂ with a side of intrigue,Media,Media
Egypt restores feared secret police units,Alta,Alta
Anthony Weiner support slumps as poll finds New Yorkers favour exit from race,Media,Alta
Pope Francis signals openness towards gay priests,Media,Alta
Gareth Bale will put pressure on Spurs to let him go to Real Madrid,Alta,Media
How the Middle East and US have reacted to Egypt's post-Morsi regime,Media,Media
Apple investigates new claims of China factory staff mistreatment,Alta,Media
Russia's Aeroflot to launch budget airline amid effort to revamp brand,Media,Media
Greek resorts consider special tourist zones after Briton's murder,Alta,Media
Middle East peace talks under way in Washington,Media,Media
,Media,Baixa
Former US amBaixador to oversee talks,Media,Media
Analysis: Middle East peace talks rebooted,Media,Media
Israel to release Palestinian prisoners,Media,Media
Opinion: talks concern Obama's search for legacy,Media,Media
Explosions at Florida propane plant,Media,Baixa
Fire and blasts at propane depot in Tavares,Alta,Alta
Egypt restores feared secret police,Alta,Media
How the Middle East and US have reacted to Egypt,Media,Media
Peter Beaumont: Muslim Brotherhood in crisis,Media,Baixa
'We didn't have space for the bodies',Alta,Alta
Pope: I won't judge gay priests,Baixa,Media
Joanna Moorhead: Will it translate into action?,Media,Media
Pope's final Rio mass draws crowds,Media,Media
Manning verdict expected Tuesday,Media,Media
Senator: Fisa court is 'anachronistic',Media,Alta
Congressmen: oversight of NSA doesn't work,Baixa,Media
NSA surveillance critics to testify before Congress,Media,Media
US will not seek death penalty for Snowden,Baixa,Media
Climate study predicts watery future,Media,Media
Weiner faces more woe in new poll,Media,Media
Weiner's campaign manager quits,Baixa,Baixa
Scandal reveals almighty power of the internet,Media,Media
Taliban attack Pakistan prison,Alta,Media
Baghdad car bombs kill dozens,Alta,Alta
Woman arrested in DC vandalism,Media,Media
Cannes heist one of largest ever,Alta,Baixa
Cannes robbery: thief steals jewels worth â‚¬40m,Baixa,Media
New claims of Apple mistreatment,Alta,Alta
Fast food workers protest low wages,Alta,Media
Bulger defence calls Ex-FBI agent,Media,Baixa
Inquiry opened into Italy bus crash,Media,Media
At least 37 dead in Italy bus crash,Alta,Alta
Simon Jenkins: Making travel 'safer' is dangerous,Alta,Alta
Interactive: Italy coach crash in Acqualonga viaduct,Media,Media
"Amazon to hire 5,000 new workers",Media,Media
FBI rescues children from traffickers,Media,Media
Train driver 'admits he was reckless',Alta,Alta
Train crash driver to face judge,Alta,Alta
Spanish train's 'black boxes' found,Media,Media
Miguel-Anxo Murado: human error over decades,Media,Media
The best news photographs of the day,Media,Media
Best non-fiction summer reads,Media,Media
Going underground â€“ in pictures,Media,Media
Status update with Rob Delaney,Media,Media
From Twitter to board games and books,Media,Media
"A beloved Twitter coMedian, Rob Delaney has expanded his empire of hilarity to include a board game and a book",Baixa,Media
Clinton & Obama,Alta,Media
Lunchtime,Media,Media
Political partners (and rivals) lunched at the White House on Monday,Media,Media
Passport photos,Media,Media
Famous faces,Media,Media
Even the brutality of the photo booth cannot dim true glamour,Media,Media
Putin photo,Media,Media
Fishy business,Media,Media
Bloggers question reported 21kg weight of catch,Media,Media
Glenn Greenwald,Media,Media
"Major opinion shifts, in the US and Congress, on NSA surveillance and privacy",Media,Media
Richard III site,Media,Baixa
New coffin found,Media,Media
Scientists to open coffin under carefully controlled conditions,Baixa,Baixa
Star Wars sequel,Media,Media
No cheap tricks,Media,Media
Film-makers tell fans they'll 'use every tool in the toolbox',Media,Media
Curiosity rover,Media,Media
The story so far,Media,Media
We look back at an incredible feat: landing the probe on Mars,Media,Media
James Blunt,Media,Media
Single spammer,Baixa,Baixa
Singer apologises on Twitter for UK-wide mailout blunder,Media,Media
How we made â€¦,Media,Media
The Jungle Book,Baixa,Baixa
Voice of Mowgli and storyman recall production of 1967 film,Media,Media
Spotify,Media,Baixa
First comedy app,Media,Media
App picks out spoken-word playlists from coMedians old and new,Media,Media
Middle East,Media,Media
New Jerusalem,Media,Baixa
"In the Holy City, Jews are aiming to 'reclaim' its ancient Muslim Quarter",Alta,Alta
Artisan food,Media,Media
Just a fad?,Media,Baixa
"Artisan bakeries, city beekeepers, organic co-ops â€¦  Is this the future?",Media,Media
Film review,Media,Media
Refn follow-up,Media,Baixa
John Patterson: Only God Forgives this level of tedium,Media,Media
Anthea Butler,Baixa,Media
Conservatives bashed me for speaking out about the Zimmerman verdict,Media,Alta
Johnny Depp,Media,Media
Retirement nigh,Media,Baixa
"Actor, 50, tells BBC he's thinking of moving on to 'quieter things'",Media,Media
Spitzer Seeks Sweeping Changes in Albany,Media,Media
Audio: Excerpts From the Address,Media,Media
More From The Empire Zone,Media,Media
DealBook: Cuomo's Wall Street Agenda,Media,Media
,Media,Baixa
"In Meetings With Allies, Clinton Hones 08 Strategy",Media,Media
Embattled Chief Executive Resigns at Home Depot,Baixa,Media
DealBook: Looming Proxy Fight,Baixa,Alta
"Hussein Guard Is Arrested, Officials Say",Alta,Baixa
White House Questioned on Handling of Execution,Alta,Alta
"Trying to Regain Initiative, Bush Looks Ahead",Media,Media
New Evidence of Liquid Methane on Saturns Moon,Baixa,Media
Chrysler Is Only U.S. Carmaker to See Sales Gains,Media,Media
The Caucus: Anti-War Mom Upstages Democrats,Baixa,Media
The Lede: Hussein's Ghost in Baghdad,Alta,Alta
Audio,Baixa,Media
"From Father to Son, Last Words",Media,Alta
Related Article,Baixa,Baixa
Budget Hotels in Europe,Media,Media
The 25 Most E-Mailed Travel Articles of 2006,Baixa,Media
Dowd: Strained Egos,Media,Media
Friedman: A Hanging,Alta,Alta
Editorial: Net Democracy,Baixa,Media
Sectors,Media,Media
Luring Americans to Spain,Media,Media
Small Wonders in a Big Year,Media,Media
Resolved: To Go Easy on the Resolutions,Media,Media
The Lede: Gävle Goat Survives in Sweden,Baixa,Media
Never Underestimate the Average Joe,Media,Media
Hes Breaking All of Islams Taboos,Alta,Alta
Iraq to Review Husseins Execution,Alta,Baixa
An American University for Iraq but Not in Baghdad,Media,Baixa
"Israeli Admits Big Errors in Lebanon War, but Wont Resign",Alta,Media
The New Age: A Surprising Secret to a Long Life: Stay in School,Media,Baixa
Man Sentenced to 26 Years for Reporters Murder,Alta,Alta
Ford Is Remembered at Funeral in Washington,Media,Media
The Ex-Presidents Club Bids a Member Goodbye,Media,Media
"For Some Moviegoers, Its Hooray for Bollywood",Media,Media
Man Is Rescued by Stranger on Subway Tracks,Media,Media
New York Transit Chief Plans to Resign,Media,Media
The Energy Challenge: Wal-Mart Puts Some Muscle Behind Power-Sipping Bulbs,Media,Media
Cancer Patients’ Wait Times Cost Billions,Media,Media
"In Atlanta, Medical Sleuths of Last Resort",Media,Media
Amgen Acquires Option for a Heart Failure Drug,Media,Media
Starbucks Cuts Use of Trans Fats,Media,Media
The Critical Years: Trying to Find Solutions in Chaotic Middle Schools,Media,Media
Moving for the Food,Media,Media
"Habitats | Upper West Side: A Former Studio, Still Chockablock With Art",Media,Media
Fighting Over Gold in the Land of Dracula,Media,Alta
Economix: Its the Year to Keep an Eye on Paychecks,Media,Media
Google Answer to Filling Jobs Is an Algorithm,Media,Media
Patent Lawsuit Names Leading Technology Firms,Media,Baixa
The Two Sides of Jim Tressel,Media,Media
Saban Leaving the Dolphins for Alabama,Alta,Media
Numbers Put Up by the Defense Dont Add Up to a Giants Title,Media,Media
"Choice Tables: In El Paso and Juárez, Elegant Surprises on Both Sides of the Rio Grande",Media,Media
"Holiday on Ice in St. Petersburg, With a Shot of Vodka on the Side",Media,Media
36 Hours: London,Media,Media
"Be It Ever So Homespun, Theres Nothing Like Spin",Media,Baixa
"The Pour : Ancient Messages, Hidden in a Dusty Bottle From Long Ago",Media,Media
Music and Food? The Pros Step In,Media,Media
Can This Living Room Be Saved?,Media,Media
In the Heartland and Out of the Closet,Media,Alta
"Going Mobile: All Hanging in Place, Even the Fishbowl",Media,Media
Can Google Come Out to Play?,Media,Media
The Graying of Naughty,Media,Media
David Lynchs Shockingly Peaceful Inner Life,Baixa,Media
Green Icing on the Cake,Media,Media
The Fast and the Frugal,Media,Media
Editorial: Protecting Internet Democracy,Baixa,Media
"Op-Ed Contributor: This Is Your Brain on Drugs, Dad",Alta,Alta
"3,000 Americans: Let Us Remember (6 Letters)",Media,Media
TV: Hey! Never Underestimate the Average Joe,Media,Media
MoMA to Gain Exhibition Space by Selling Adjacent Lot for $125 Million,Media,Media
Controversy Rules Oscar Contenders,Baixa,Baixa
"From the Stage to the Movie Screen, Seeing the Dancer in a Different Light",Media,Media
"Movie Review | 'I Love You (Volim Te)': In Croatia, an Empty Life in Full View",Media,Alta
The Year of Leading Ladies on the London Stage,Media,Media
Winter Garden's Drive Time Ends,Media,Media
Theater Briefs,Media,Media
A Princeton Maverick Succumbs to a Cultural Shift,Media,Media
"'American Islam,' by Paul M. Barrett: Muslims in the Melting Pot: Portraits of a Post-9/11 World",Baixa,Media
"Tillie Olsen, Feminist Writer, Dies at 94",Media,Media
Feared and Pitiless; Fearful and Pitiable,Alta,Alta
Politics: Would-Be Presidents With Cold Shoulders,Media,Media
Judiciary: The Kennedy Factor on the Roberts Court,Media,Media
The Lives They Lived,Media,Media
Joseph J. Schildkraut | b. 1934: The Creative Mind Reader,Media,Media
William C. Norris | b. 1911: The Bleeding-Heart Rationalist,Baixa,Alta
The New Age: A Surprising Secret to a Long Life: Stay in School,Baixa,Baixa
"Free Will: Now You Have It, Now You Don’t",Baixa,Media
Essay: What’s Making Us Sick Is an Epidemic of Diagnoses,Media,Media
The Critical Years: Trying to Find Solutions in Chaotic Middle Schools,Media,Media
Questions Couples Should Ask (Or Wish They Had) Before Marrying,Media,Media
The Curious Cook : Trying to Clear Absinthe’s Reputation,Media,Baixa
Lock the Library! Rowdy Students Are Taking Over,Alta,Alta
Maureen Dowd: Stained Glass and Strained Egos,Baixa,Media
"Chaos Overran Iraq Plan in '06, Bush Team Says",Media,Media
Rush to Hang Hussein Was Questioned,Alta,Alta
Second Thoughts on Gays in the Military,Alta,Media
Fed kills market's Happy New Year,Media,Alta
Which to fund? My 401(k) or Roth IRA?,Media,Media
U.S.,Media,Baixa
World,Media,Media
Politics,Media,Media
Sports,Media,Media
,Baixa,Baixa
BuzzTracker,Baixa,Media
FOX Sports,Baixa,Media
Corrections,Media,Baixa
Editorials,Media,Baixa
"Post Politics, 11",Media,Baixa
"NFL Insider, 11",Media,Media
"Life at Work, 11",Media,Media
"Garden Plot, 11",Media,Media
"Moving Crew, 11:30",Media,Baixa
